IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.181.117,2053,true,SIN,Asia Pacific,Singapore,234 ms,7990 kB/s
8.222.181.117,2087,true,SIN,Asia Pacific,Singapore,217 ms,7952 kB/s
47.76.146.1,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,7849 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,234 ms,7723 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,218 ms,7666 kB/s
47.236.97.90,2053,true,SIN,Asia Pacific,Singapore,232 ms,7370 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,68 ms,7308 kB/s
47.76.204.76,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,7294 kB/s
47.236.169.164,8443,true,SIN,Asia Pacific,Singapore,243 ms,7112 kB/s
47.236.97.90,2083,true,SIN,Asia Pacific,Singapore,233 ms,7106 kB/s
47.236.169.164,2087,true,SIN,Asia Pacific,Singapore,226 ms,7052 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,235 ms,7048 kB/s
47.236.87.246,2087,true,SIN,Asia Pacific,Singapore,240 ms,6906 kB/s
47.237.95.156,2096,true,SIN,Asia Pacific,Singapore,237 ms,6889 kB/s
47.237.81.112,2087,true,SIN,Asia Pacific,Singapore,222 ms,6869 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,221 ms,6676 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,231 ms,6555 kB/s
47.236.17.193,2053,true,SIN,Asia Pacific,Singapore,236 ms,6366 kB/s
47.237.95.156,2083,true,SIN,Asia Pacific,Singapore,239 ms,6301 kB/s
47.236.75.113,2083,true,SIN,Asia Pacific,Singapore,234 ms,6238 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,227 ms,6200 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,6154 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,221 ms,6076 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,217 ms,5985 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,224 ms,5910 kB/s
47.237.92.26,8443,true,SIN,Asia Pacific,Singapore,224 ms,5901 kB/s
47.236.17.193,2083,true,SIN,Asia Pacific,Singapore,231 ms,5880 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,226 ms,5836 kB/s
47.237.0.31,2083,true,SIN,Asia Pacific,Singapore,227 ms,5788 kB/s
47.76.204.76,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,5764 kB/s
47.237.92.26,2083,true,SIN,Asia Pacific,Singapore,242 ms,5743 kB/s
47.237.95.146,8443,true,SIN,Asia Pacific,Singapore,226 ms,5723 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,237 ms,5642 kB/s
47.237.92.26,2096,true,SIN,Asia Pacific,Singapore,255 ms,5601 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,230 ms,5577 kB/s
8.222.181.117,8443,true,SIN,Asia Pacific,Singapore,231 ms,5566 kB/s
47.236.17.193,8443,true,SIN,Asia Pacific,Singapore,225 ms,5552 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,224 ms,5541 kB/s
47.236.172.95,2083,true,SIN,Asia Pacific,Singapore,231 ms,5536 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,221 ms,5518 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,231 ms,5501 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,241 ms,5483 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,222 ms,5476 kB/s
47.237.100.206,2087,true,SIN,Asia Pacific,Singapore,222 ms,5466 kB/s
47.236.10.100,2096,true,SIN,Asia Pacific,Singapore,249 ms,5461 kB/s
47.236.17.193,2096,true,SIN,Asia Pacific,Singapore,227 ms,5449 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,223 ms,5440 kB/s
47.236.172.95,8443,true,SIN,Asia Pacific,Singapore,222 ms,5439 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,245 ms,5409 kB/s
47.236.83.239,2053,true,SIN,Asia Pacific,Singapore,235 ms,5397 kB/s
